Timestamp,PM2.5,PM10
2021-01-03 00:10:01.571,0,0
2021-01-03 00:10:02.299,2,5
2021-01-03 00:10:04.457,2,6
2021-01-03 00:10:05.186,2,6
2021-01-03 00:10:05.915,2,6
2021-01-03 00:10:06.646,2,6
2021-01-03 00:10:08.076,2,6
2021-01-03 00:10:08.805,2,6
2021-01-03 00:10:09.534,2,6
2021-01-03 00:10:10.263,2,6
2021-01-03 00:10:12.424,3,6
2021-01-03 00:10:13.882,3,7
2021-01-03 00:10:16.769,3,6
2021-01-03 00:10:17.498,3,6
2021-01-03 00:10:18.955,3,6
2021-01-03 00:10:20.385,2,2
2021-01-03 00:10:21.114,2,2
2021-01-03 00:10:21.843,1,1
2021-01-03 00:10:22.681,1,1
2021-01-03 00:10:23.410,1,1
2021-01-03 00:10:26.297,1,1
2021-01-03 00:10:27.026,1,1
2021-01-03 00:10:27.757,1,1
2021-01-03 00:10:29.187,1,1
2021-01-03 00:10:31.373,0,0
2021-01-03 00:10:32.803,0,0
2021-01-03 00:10:33.532,0,0
2021-01-03 00:10:34.260,0,0
2021-01-03 00:10:35.718,0,0
2021-01-03 00:10:37.876,0,0
2021-01-03 00:10:40.064,0,0
2021-01-03 00:10:41.494,0,0
2021-01-03 00:10:42.223,0,0
2021-01-03 00:10:42.951,0,0
2021-01-03 00:10:45.113,1,1
2021-01-03 00:10:45.842,1,1
2021-01-03 00:10:46.570,1,1
2021-01-03 00:10:50.189,1,1
2021-01-03 00:10:50.917,1,1
2021-01-03 00:10:51.646,1,1
2021-01-03 00:10:53.076,1,1
2021-01-03 00:10:54.536,1,1
2021-01-03 00:10:55.265,1,1
2021-01-03 00:10:58.152,1,1
2021-01-03 00:11:03.960,1,1
2021-01-03 00:11:05.389,1,1
2021-01-03 00:11:06.118,2,2
2021-01-03 00:11:06.847,2,2
2021-01-03 00:11:07.576,2,2
2021-01-03 00:11:08.304,2,2
2021-01-03 00:11:11.194,2,2
2021-01-03 00:11:11.923,2,2
2021-01-03 00:11:13.353,3,3
2021-01-03 00:11:14.192,3,3
